Dataset,Row ID,text,TARGET,MIGRANTS,POC,LGBT+,MUSLIMS,WOMEN,JEWS,other,DISABLED
DIALO_CONAN_Counterspeech,944,That intolerance and hatred is one of the biggest problems our country faces #spreadlovenothate.,['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,5394,Why would you say this about a religion?,['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,7424,"Why do you think this is right? Women are human beings with rights, which means that they can be leaders too.",['WOMEN'],0,0,0,0,1,0,0.0,0.0
DIALO_CONAN_Counterspeech,4539,"If you're really worried about women's rights, shouldn't you start by addressing the misogyny and violence women face from men, before blaming trans women?",['LGBT+'],0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,4789,All people have a right to life regardless of the color of their skin. You are forgetting that black people are part of this society just as much as you are.,['POC'],0,1,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,7892,"""Rape gangs"" aren't really that common, the media report about them a lot to divide us, but Muslims are actually good people. They have the right to be here and to their own beliefs.",['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,5620,"Women are more than capable of holding powerful positions in our society, and this can be seen in the fact that they are often rewarded with public offices that not a lot of women thought they could hold.",['WOMEN'],0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,628,Religious sources agree that all humans are born equal. What is the religion you are talking about?,other,0,0,0,0,0,0,1.0,0.0
DIALO_CONAN_Counterspeech,1813,Could it be that all the Jews on this planet are descended from an extraterrestrial race? Maybe they came here riding a pink unicorn! Seems legit... don't you think?,['JEWS'],0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,5096,"I believe that taking in migrants is not against our culture. It is possible to integrate migrants, even though they often face legal and immigration obstacles. We have to take into account the needs of everyone.",['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,135,"Patriarchy is a curse: since they are young, men are told to be tough and strong, to bear all the burdens while being emotionless. This has led to higher levels of suicide amongst men. I don't see this as an indicator of a ""great civilization"".",WOMEN,0,0,0,0,1,0,0.0,0.0
DIALO_CONAN_Counterspeech,7994,"You need to take a chill pill. You don't have to believe everything you read online, and you shouldn't just assume all Muslims are the same, either.",['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,7306,"We mustn't be afraid of people coming to our country to work. They are not criminals, but our brothers and sisters.",['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,800,"How can you say that Jews should be isolated from society? They have been part of the community throughout history. I can't see any advantages of excluding them, rather a huge loss.",['JEWS'],0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,2493,Many survivors confessed that they were willing to provide their children with stories of the Holocaust but it was very difficult emotionally. They want to talk about the aspects of life for Jews during the time of the Holocaust to not forget what happened.,['JEWS'],0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,858,"Please, Homosexuals are not pedophiles. We mustn't allow anti-gay prejudice to cloud our judgement or our view of reality.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,1065,Islam is a religion of peace. It promotes cooperation and understanding between people. Why shouldn't Muslims be welcome here?,['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,955,I think that Jews are a part of our country. Why would they need your consent?,['JEWS'],0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,7662,"No, they're not. They're humans like us, and we actually all descend from apes so we're all equal.",['POC'],0,1,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,335,We all know violent crime and knife crime is increasing across communities. This is a terrible criminal act but we also know those criminals do not represent a whole community.,['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,6721,"Are you saying that people of color are not humans? You're gravely mistaken, black people are humans like us who experience many feelings other than selfishness and greed.",['POC'],0,1,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,1675,"We have to accept that terrorism is a problem in many parts of the world and due to people of different faiths, but the more we ignore that, the more dangerous it becomes to think it is caused by one religion.",other,0,0,0,0,0,0,1.0,0.0
DIALO_CONAN_Counterspeech,145,"Health tourism actually only makes up 0.3% of the NHS budget, stop scapegoating migrants for the state of the NHS, when the real problem is that it has been critically underfunded for years.",['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,925,How about using cultural diversity as the criteria? Your standards seem very high for what you expect to be culturally acceptable standards of behavior. Maybe it is better to use a less stringet criteria of acceptability.,LGBT+,0,0,1,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,446,"If so, Gypsies would do it in every context and under any circumstance, luckly it is not like that.",other,0,0,0,0,0,0,1.0,0.0
Multi_CONAN_Counterspeech,3148,"Islam is a religion, and it is not a religion that promotes these actions.",MUSLIMS,0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,1089,Refugee crisis in our country is a burden to our society.,['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,5486,Women are just like everyone else: humans. They have the right to live their life however they want.,['WOMEN'],0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,595,"While nowadays there may be fewer examples of overt oppression, that does not remove hidden oppression, nor does it mean that equality has been completely achieved.",WOMEN,0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,4192,Immigration isn't a problem. I think most countries in the world are better off with the positive contribution of immigration.,MIGRANTS,1,0,0,0,0,0,0.0,0.0
